PC_TIME_STAMP,REF_TIME,A1_X_HEX,A1_X
02:48:22:593,0.000,0x0002,2
02:48:22:593,0.010,0xFFFA,-6
02:48:22:593,0.020,0xFFFE,-2
02:48:22:593,0.030,0xFFF5,-11
02:48:22:593,0.040,0x0004,4
02:48:22:593,0.050,0xFFFE,-2
02:48:22:593,0.060,0xFFFE,-2
02:48:22:593,0.070,0xFFFB,-5
02:48:22:593,0.080,0xFFFA,-6
02:48:22:593,0.090,0x0001,1
02:48:22:593,0.100,0x0003,3
02:48:22:593,0.110,0xFFFD,-3
02:48:22:593,0.120,0xFFFB,-5
02:48:22:593,0.130,0xFFFB,-5
02:48:22:593,0.140,0xFFFB,-5
02:48:22:593,0.150,0x0001,1
02:48:22:593,0.160,0xFFFE,-2
02:48:22:593,0.170,0x0002,2
02:48:22:593,0.180,0x0002,2
02:48:22:593,0.190,0xFFFA,-6
02:48:22:593,0.200,0xFFF9,-7
02:48:22:593,0.210,0xFFFF,-1
02:48:22:593,0.220,0xFFFA,-6
02:48:22:593,0.230,0xFFFE,-2
02:48:22:593,0.240,0xFFFF,-1
02:48:22:593,0.250,0xFFFF,-1
02:48:22:593,0.260,0xFFF8,-8
02:48:22:593,0.270,0xFFFB,-5
02:48:22:593,0.280,0x0003,3
02:48:22:593,0.290,0xFFFA,-6
02:48:22:593,0.300,0x0001,1
02:48:22:593,0.310,0xFFFE,-2
02:48:22:593,0.320,0x0002,2
02:48:22:593,0.330,0xFFFE,-2
02:48:22:593,0.340,0xFFFE,-2
02:48:22:593,0.350,0x0004,4
02:48:22:593,0.360,0xFFFC,-4
02:48:22:593,0.370,0xFFFF,-1
02:48:22:593,0.380,0x0003,3
02:48:22:593,0.390,0xFFFE,-2
02:48:22:593,0.400,0x0003,3
02:48:22:593,0.410,0xFFFE,-2
02:48:22:593,0.420,0x0002,2
02:48:22:593,0.430,0x0000,0
02:48:22:593,0.440,0xFFFA,-6
02:48:22:593,0.450,0xFFFD,-3
02:48:22:593,0.460,0xFFFF,-1
02:48:22:593,0.470,0x0002,2
02:48:22:593,0.480,0x0000,0
02:48:22:593,0.490,0x0004,4
02:48:22:593,0.500,0xFFFC,-4
02:48:22:593,0.510,0x0007,7
02:48:22:593,0.520,0x0002,2
02:48:22:593,0.530,0x0002,2
02:48:22:593,0.540,0x0001,1
02:48:22:593,0.550,0xFFFF,-1
02:48:22:593,0.560,0x0000,0
02:48:22:593,0.570,0xFFFD,-3
02:48:22:593,0.580,0xFFFF,-1
02:48:22:593,0.590,0xFFFF,-1
02:48:22:593,0.600,0x0001,1
02:48:22:593,0.610,0xFFFF,-1
02:48:22:593,0.620,0xFFFB,-5
02:48:22:593,0.630,0x0004,4
02:48:22:593,0.640,0x0001,1
02:48:22:593,0.650,0x0008,8
02:48:22:593,0.660,0xFFFB,-5
02:48:22:593,0.670,0xFFFF,-1
02:48:22:593,0.680,0x0004,4
02:48:22:593,0.690,0xFFFC,-4
02:48:22:593,0.700,0xFFFF,-1
02:48:22:593,0.710,0xFFFB,-5
02:48:22:593,0.720,0xFFFC,-4
02:48:22:593,0.730,0x0007,7
02:48:22:593,0.740,0xFFF7,-9
02:48:22:593,0.750,0xFFFE,-2
02:48:22:593,0.760,0x0002,2
02:48:22:593,0.770,0xFFFF,-1
02:48:22:593,0.780,0xFFFA,-6
02:48:22:593,0.790,0x0000,0
02:48:22:593,0.800,0x0000,0
02:48:22:593,0.810,0x0004,4
02:48:22:593,0.820,0x0000,0
02:48:22:593,0.830,0xFFFF,-1
02:48:22:593,0.840,0x0005,5
02:48:22:593,0.850,0x0000,0
02:48:22:593,0.860,0xFFFA,-6
02:48:22:593,0.870,0xFFFF,-1
02:48:22:593,0.880,0xFFFF,-1
02:48:22:593,0.890,0x0001,1
02:48:22:593,0.900,0xFFFC,-4
02:48:22:593,0.910,0xFFFE,-2
02:48:22:593,0.920,0xFFFB,-5
02:48:22:593,0.930,0x0006,6
02:48:22:593,0.940,0xFFFE,-2
02:48:22:593,0.950,0xFFFB,-5
02:48:22:593,0.960,0x0001,1
02:48:22:593,0.970,0xFFFC,-4
02:48:22:593,0.980,0xFFFB,-5
02:48:22:593,0.990,0xFFFE,-2
02:48:22:593,1.000,0xFFF9,-7
02:48:22:593,1.010,0xFFFA,-6
02:48:22:593,1.020,0xFFF6,-10
02:48:22:593,1.030,0x0004,4
02:48:22:593,1.040,0x0005,5
02:48:22:593,1.050,0xFFFB,-5
02:48:22:593,1.060,0x0002,2
02:48:22:593,1.070,0xFFF9,-7
02:48:22:593,1.080,0x0000,0
02:48:22:593,1.090,0xFFFF,-1
02:48:22:593,1.100,0xFFF8,-8
02:48:22:593,1.110,0x0000,0
02:48:22:593,1.120,0xFFFC,-4
02:48:22:593,1.130,0x0002,2
02:48:22:593,1.140,0x0002,2
02:48:22:593,1.150,0x0003,3
02:48:22:593,1.160,0xFFFC,-4
02:48:22:593,1.170,0xFFFD,-3
02:48:22:593,1.180,0xFFFB,-5
02:48:22:593,1.190,0x0003,3
02:48:22:593,1.200,0xFFFC,-4
02:48:22:593,1.210,0x0000,0
02:48:22:593,1.220,0x0001,1
02:48:22:593,1.230,0x0002,2
02:48:22:593,1.240,0x0000,0
02:48:22:593,1.250,0xFFF8,-8
02:48:22:593,1.260,0x0002,2
02:48:22:593,1.270,0xFFFC,-4
02:48:32:972,0.010,0x0002,2
02:48:32:972,0.020,0xFFFE,-2
02:48:32:972,0.030,0x0002,2
02:48:32:972,0.040,0xFFFC,-4
02:48:32:972,0.050,0xFFF9,-7
02:48:32:972,0.060,0xFFFA,-6
02:48:32:972,0.070,0x0005,5
02:48:32:972,0.080,0x0004,4
02:48:32:972,0.090,0xFFF8,-8
02:48:32:972,0.100,0x0006,6
02:48:32:972,0.110,0xFFFE,-2
02:48:32:972,0.120,0xFFFB,-5
02:48:32:972,0.130,0xFFFC,-4
02:48:32:972,0.140,0x0006,6
02:48:32:972,0.150,0xFFF9,-7
02:48:32:972,0.160,0x0003,3
02:48:32:972,0.170,0x0004,4
02:48:32:972,0.180,0xFFFC,-4
02:48:32:972,0.190,0xFFFB,-5
02:48:32:972,0.200,0x0001,1
02:48:32:972,0.210,0x0000,0
02:48:32:972,0.220,0x0001,1
02:48:32:972,0.230,0xFFFE,-2
02:48:32:972,0.240,0x0000,0
02:48:32:972,0.250,0x0001,1
02:48:32:972,0.260,0xFFFB,-5
